,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
865,CVS PHARMACY 6975,Federal Allocation,,,Arlington,,506 Fielder North Plz,76012,6/2/2021,0:00:00,0,0,0,0,425,425,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/506+N+Fielder+Rd-Arlington-TX-76012/storeid=6975
866,CVS PHARMACY 6982,Federal Allocation,,,THE COLONY,,6749 MAIN ST,75056,6/2/2021,0:00:00,0,0,0,0,115,115,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/6749+Main+St-The+Colony-TX-75056/storeid=6982
867,CVS PHARMACY 6983,Federal Allocation,,,CARROLLTON,,3065 N JOSEY LN STE 64,,6/2/2021,0:00:00,0,0,0,0,318,318,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/3065+N+Josey+Ln+Ste+64-Carrollton-TX-75007/storeid=6983
868,CVS PHARMACY 6986,Federal Allocation,,,CORPUS CHRISTI,,1240 South Port Ave.,78405,6/2/2021,0:00:00,0,8,0,1,1,9,1,,https://www.cvs.com/store-locator/cvs-pharmacy-address/1240+South+Port+Ave.-Corpus+Christi-TX-78405/storeid=6986
869,CVS PHARMACY 7094,Federal Allocation,,,LEAGUE CITY,,3013 MARINA BAY DR,77573,6/2/2021,0:00:00,0,0,0,0,383,383,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/3013+Marina+Bay+Dr.-League+City-TX-77573/storeid=7094
870,CVS PHARMACY 7118,Federal Allocation,,,Richardson,,325 W Spring Valley Rd,75081,6/2/2021,0:00:00,0,0,0,0,534,534,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/325+W.+Spring+Valley+Rd.-Richardson-TX-75081/storeid=7118
871,CVS PHARMACY 7149,Federal Allocation,,,Dallas,,2899 Forest Ln,75234,6/2/2021,0:00:00,0,0,0,0,240,240,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/2899+Forest+Lane-Dallas-TX-75234/storeid=7149
872,CVS PHARMACY 7196,Federal Allocation,,,Carrollton,,4100 State Highway 121,75010,6/2/2021,0:00:00,0,0,0,0,252,252,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/4100+State+Hwy+121%2C-Carrollton-TX-75010/storeid=7196
873,CVS PHARMACY 7222,Federal Allocation,,,HOUSTON,,4131 ALDINE MAIL ROUTE RD,77039,6/2/2021,0:00:00,0,0,0,0,495,495,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/4131+Aldine+Mail+Rte.-Houston-TX-77039/storeid=7222
874,CVS PHARMACY 7243,Federal Allocation,,,AUSTIN,,3201 BEE CAVES RD STE 132 ,78746,6/2/2021,0:00:00,0,0,0,0,223,223,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/3201+Bee+Caves+Rd+%23132-Austin-TX-78746/storeid=7243
875,CVS PHARMACY 7268,Federal Allocation,,,BRECKENRIDGE,,1501 W WALKER ST,76424,6/2/2021,0:00:00,0,0,0,0,404,404,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/1501+W.+Walker+St.-Breckenridge-TX-76424/storeid=7268
876,CVS PHARMACY 7284,Federal Allocation,,,Houston,,13757 CYPRESS NORTH HOUSTON RD CYPRESS 77429,77429,6/2/2021,0:00:00,0,0,0,0,218,218,0,(281) 890-3467,
877,CVS PHARMACY 7286,Federal Allocation,,,Houston,,2469 Bay Area Blvd Houston 77058,77058,6/2/2021,0:00:00,0,0,0,0,339,339,0,,
878,CVS PHARMACY 7287,Federal Allocation,,,Plano,,2454 JUPITER RD PLANO 75074,75074,6/2/2021,0:00:00,0,5,0,1,0,5,1,(972) 578-8607,
879,CVS PHARMACY 5258,Federal Allocation,,9838 Buffalo Speedway,Houston,,9838 Buffalo Speedway Houston 77025,77025,6/2/2021,0:00:00,0,0,0,0,493,493,0,,
880,CVS PHARMACY 7309,Federal Allocation,,,San Antonio,,6470 N New Braunfels Ave San Antonio 78209,78209,6/2/2021,0:00:00,0,0,0,0,352,352,0,,
881,CVS Pharmacy 7341,Federal Allocation,,,San Antonio,,9285 Culebra Ave,78251,6/2/2021,0:00:00,0,0,0,0,638,638,0,(210) 521-5335,
882,CVS PHARMACY 7346,Federal Allocation,,,Friendswood,,3226 FM 528 Rd Friendswood 77546,77546,6/2/2021,0:00:00,0,0,0,0,346,346,0,,
883,CVS PHARMACY 7279,Federal Allocation,,108 N Washington Ave,Cleveland,Liberty,108 N Washington Ave,77327,6/2/2021,0:00:00,0,518,0,419,0,518,419,,
884,CVS PHARMACY 1108,Federal Allocation,,3890 Phelan Blvd,Beaumont,Jefferson,3890 Phelan Blvd,77707,6/2/2021,0:00:00,0,900,0,666,0,900,666,,
885,CVS PHARMACY 2182,Federal Allocation,,4531 PADRE ISLAND HWY,BROWNSVILLE,Cameron,4531 PADRE ISLAND HWY BROWNSVILLE 78521,78521,6/2/2021,0:00:00,0,277,0,219,0,277,219,956-542-1733,https://www.cvs.com/store-locator/cvs-pharmacy-address/4531+Padre+Island+Highway-Brownsville-TX-78521/storeid=2182?WT.mc_id=LS_GOOGLE_RX_2182
886,CVS PHARMACY 7364,Federal Allocation,,,Houston,,8620 JONES RD HOUSTON 77065,77065,6/2/2021,0:00:00,0,0,0,0,298,298,0,,
887,CVS PHARMACY 1339,Federal Allocation,,26265 Northwest Freeway,Cypress,Harris,26265 Northwest Freeway,77429,6/2/2021,0:00:00,0,7,0,5,0,7,5,,
888,CVS PHARMACY 7369,Federal Allocation,,,Spring,,22560 Aldine Westfield Rd,77373,6/2/2021,0:00:00,0,0,0,0,212,212,0,(281) 353-6078,
889,CVS PHARMACY 7393,Federal Allocation,,,Fort Worth,,8520 Camp Bowie West Blvd Fort Worth 76116,76116,6/2/2021,0:00:00,0,0,0,0,240,240,0,(817) 560-0130,
890,CVS PHARMACY 6835,Federal Allocation,,2674 South 31st St.,Temple,Bell,2674 South 31st St.,76504,6/2/2021,0:00:00,0,2262,0,1834,0,2262,1834,,
891,CVS PHARMACY 7402,Federal Allocation,,,Houston,,7900 MAIN ST HOUSTON 77025,77025,6/2/2021,0:00:00,0,0,0,0,39,39,0,(713) 660-8934,
892,CVS PHARMACY 7415,Federal Allocation,,,Wichita Falls,,"3201 Seymour Hwy, Wichita Falls, TX 76309",76309,6/2/2021,0:00:00,0,0,0,0,102,102,0,(940) 766-1939,
893,CVS PHARMACY 7430,Federal Allocation,,,Dallas,,8686 Ferguson Rd Ste 230 Dallas 75228,75228,6/2/2021,0:00:00,0,0,0,0,167,167,0,(214) 320-0892,
894,CVS PHARMACY 7432,Federal Allocation,,,Conroe,,2110 N FRAZIER ST CONROE 77301,77301,6/2/2021,0:00:00,0,0,0,0,113,113,0,(936) 760-3101,
895,CVS PHARMACY 7441,Federal Allocation,,,Liberty,,2005 HIGHWAY 90 LIBERTY 77575,77575,6/2/2021,0:00:00,939,0,0,0,241,1180,0,(936) 336-7233,
896,CVS PHARMACY 7442,Federal Allocation,,,Austin,,11300 N LAMAR BLVD AUSTIN 78753,78753,6/2/2021,0:00:00,0,0,0,0,242,242,0,(512) 835-6751,
897,CVS PHARMACY 7292,Federal Allocation,,1101 East Highway 377,Granbury,Hood,1101 East Highway 377,76048,6/2/2021,0:00:00,0,2,0,2,0,2,2,,
898,CVS PHARMACY 7445,Federal Allocation,,,Bowie,,1419 Highway 59 N Bowie 76230,76230,6/2/2021,0:00:00,0,0,0,0,391,391,0,(940) 872-6117,
899,CVS PHARMACY 10335,Federal Allocation,,"6941 E. Hwy 67,",Alvarado,Johnson,"6941 E. Hwy 67,",76009,6/2/2021,0:00:00,0,1364,0,1099,0,1364,1099,,
900,CVS PHARMACY 7080,Federal Allocation,,1000 North First St,Robstown,Nueces,363 W Avenue J,78380,6/2/2021,0:00:00,0,1995,0,1421,0,1995,1421,,
901,CVS PHARMACY 3197,Federal Allocation,,775 E. Us Hwy 80,Forney,Kaufman,775 E. Us Hwy 80,75126,6/2/2021,0:00:00,0,298,0,246,0,298,246,,
902,CVS PHARMACY 7451,Federal Allocation,,,Grapevine,,2105 W Northwest Hwy Grapevine 76051,76051,6/2/2021,0:00:00,0,0,0,0,356,356,0,(817) 416-2501,
903,CVS PHARMACY 5869,Federal Allocation,,1413 Oats Dr.,Mesquite,Dallas,1413 Oats Dr.,75150,6/2/2021,0:00:00,0,477,0,379,0,477,379,,
904,CVS PHARMACY 7459,Federal Allocation,,ElDRIDGE,Sugarland,Fort Bend,2102 ELDRIDGE RD ,77478,6/2/2021,0:00:00,0,0,0,0,187,187,0,2812422890,
905,CVS PHARMACY 5807,Federal Allocation,,9522 Broadway St,Pearland,Brazoria,9522 Broadway St,77584,6/2/2021,0:00:00,0,151,0,126,0,151,126,,
906,CVS PHARMACY 7470,Federal Allocation,,17TH,COLUMBIA,BRAZORIA,701 S 17th St ,77486,6/2/2021,0:00:00,0,0,0,0,307,307,0,9793455119,
907,CVS PHARMACY 80,Federal Allocation,,Rr 620 South,Lakeway,Travis,2306 Rr 620 South,78734,6/2/2021,0:00:00,0,62,0,48,0,62,48,,
908,CVS PHARMACY 7472,Federal Allocation,,EASTEX,Beaumont,JEFFERSON,6850 Eastex Fwy,77708,6/2/2021,0:00:00,0,0,0,0,194,194,0,4097215846,
909,CVS PHARMACY 6806,Federal Allocation,,5010 Wesley St,Greenville,Hunt,5010 Wesley St,75402,6/2/2021,0:00:00,0,641,0,497,0,641,497,,
910,CVS PHARMACY 10142,Federal Allocation,,1301 South Cage Blvd.,Pharr,Hidalgo,1301 South Cage Blvd.,78577,6/2/2021,0:00:00,0,1291,0,1037,0,1291,1037,,
911,CVS PHARMACY 6984,Federal Allocation,,2910 Fm 120 W,Denison,Grayson,2910 Fm 120 W,75020,6/2/2021,0:00:00,0,166,0,132,0,166,132,,
912,CVS PHARMACY 7479,Federal Allocation,,KIRBY,Houston,HARRIS,6011 Kirby Dr ,77005,6/2/2021,0:00:00,0,0,0,0,213,213,0,(713) 522-3983,
913,CVS PHARMACY 7480,Federal Allocation,,Tenaha,CENTER,SHELBY,640 Hurst Street,75935,6/2/2021,0:00:00,0,384,0,36,0,384,36,(936) 598-6254,
914,CVS Pharmacy 10818,Federal Allocation,,820 S 5th St.,Waco,McLennan,820 S 5th St.,76706,6/2/2021,0:00:00,0,1802,0,1412,0,1802,1412,,
915,CVS PHARMACY 7481,Federal Allocation,,BELTLINE,GARLAND,DALLAS,1372 BELT LINE RD  ,75040,6/2/2021,0:00:00,0,0,0,0,241,241,0,(972) 495-1933,
916,CVS Pharmacy 10821 ,Federal Allocation,,709 Guadalupe St,Laredo,Webb,709 Guadalupe St,78040,6/2/2021,0:00:00,0,568,0,472,0,568,472,,
917,CVS PHARMACY 7486,Federal Allocation,,SAN FELIPE,Houston ,HARRIS,6532 San Felipe St  ,77057,6/2/2021,0:00:00,0,0,0,0,305,305,0,(713) 789-1681,
918,CVS PHARMACY 7507,Federal Allocation,,SOUTHLAKE,SOUTHLAKE,,100 E Southlake Blvd,76092,6/2/2021,0:00:00,0,0,0,0,311,311,0,(817) 421-2454,
919,CVS PHARMACY 7295,Federal Allocation,,702 E Tyler,Athens,Henderson,702 E Tyler,75751,6/2/2021,0:00:00,0,891,0,728,0,891,728,,
920,CVS PHARMACY 7628,Federal Allocation,,BOULEVARD 26,Richland Hills,TARRANT,7200 Boulevard 26,76180,6/2/2021,0:00:00,0,0,0,0,106,106,0,(817) 284-3469,
921,CVS PHARMACY 7643,Federal Allocation,,SNIDER ,DALLAS,DALLAS,6832 SNIDER PLZ,75205,6/2/2021,0:00:00,0,0,0,0,243,243,0,(214) 363-1524,
922,CVS PHARMACY 7647,Federal Allocation,,GREENVILLE,Dallas ,DALLAS,5111 Greenville Ave Ste 140 ,75206,6/2/2021,0:00:00,0,0,0,0,300,300,0,(214) 691-0861,
923,CVS PHARMACY 7678,Federal Allocation,,RIVER OAKS,RIVER OAKS,TARRANT,5301 RIVER OAKS BLVD,76114,6/2/2021,0:00:00,0,0,0,0,425,425,0,(817) 732-7713,
924,CVS PHARMACY 7156,Federal Allocation,,605 W. Campbell Rd.,Richardson,Dallas,605 W. Campbell Rd.,75080,6/2/2021,0:00:00,0,210,0,190,0,210,190,,
925,CVS PHARMACY 7715,Federal Allocation,,ROCHELLE,IRVING,DALLAS,410 W ROCHELLE RD,75062,6/2/2021,0:00:00,0,0,0,0,255,255,0,972-258-6014,
926,COSTCO PHARMACY 668,Federal Allocation,,600 West Arbrook Blvd,Arlington,Tarrant,600 W ARBROOK BLVD ARLINGTON 76014,76014,7/27/2021,9:20:40,0,11,0,0,0,11,0,,
927,CVS PHARMACY 7716,Federal Allocation,,,UNIVERSAL CITY,,1836 PAT BOOKER RD,78148,6/2/2021,0:00:00,0,0,0,0,378,378,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/1836+Pat+Booker+Rd-Universal+City-TX-78148/storeid=7716
928,CVS PHARMACY 8337,Federal Allocation,,2004 North Goliad,Rockwall,Rockwall,2004 North Goliad,75087,6/2/2021,0:00:00,0,45,0,38,0,45,38,,
929,COSTCO PHARMACY 664,Federal Allocation,,3800 Cenral Expressway,East Plano,Collin,3800 Cenral Expressway,75074,7/26/2021,18:01:54,0,140,0,0,15,155,0,,
930,CVS PHARMACY 7718,Federal Allocation,,,Garland,,1902 Pleasant Valley Rd,75040,6/2/2021,0:00:00,0,0,0,0,177,177,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/1902+Pleasant+Valley+Rd-Garland-TX-75040/storeid=7718
931,CVS PHARMACY 7725,Federal Allocation,,,SAN ANTONIO,,343 W Houston St Ste 106,78205,6/2/2021,0:00:00,0,0,0,0,526,526,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/343+W+Houston+St+Ste+106-San+Antonio-TX-78205/storeid=7725
932,CVS PHARMACY 7729,Federal Allocation,,,Cameron,,1605 W 4th St # 12,76520,6/2/2021,0:00:00,1034,0,0,0,177,1211,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/1605+W+4th+St+%2312-Cameron-TX-76520/storeid=7729
933,CVS PHARMACY 6747,Federal Allocation,,602 W Grand Pkwy S ,Katy ,Katy,602 W Grand Pkwy S ,77494,6/2/2021,0:00:00,0,10,0,9,0,10,9,,
934,CVS PHARMACY 7739,Federal Allocation,,, Dallas,,10306 Ferguson Rd,75228,6/2/2021,0:00:00,0,0,0,0,168,168,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/10306+Ferguson+Rd-Dallas-TX-75228/storeid=7739
935,CVS PHARMACY 7740,Federal Allocation,,,DALLAS,,10455 N CENTRAL EXPY,75231,6/2/2021,0:00:00,0,0,0,0,291,291,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/10455+N+Central+Expy-Dallas-TX-75231/storeid=7740
936,CVS PHARMACY 7748,Federal Allocation,,,DALLAS,,10003 Marsh Ln,75229,6/2/2021,0:00:00,0,0,0,0,207,207,0,4692236812,https://www.cvs.com/store-locator/cvs-pharmacy-address/10003+Marsh+Ln-Dallas-TX-75229/storeid=7748
937,Red's Pharmacy,Federal Allocation,,3102 Garrett Drive,Perryton,Ochiltree,3102 Garrett Drive,79070,6/2/2021,0:00:00,0,197,0,153,0,197,153,,
938,CVS PHARMACY 7780,Federal Allocation,,,Jacksonville,,602 S Jackson St,75766,6/2/2021,0:00:00,0,0,0,0,374,374,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/824+S.+Jackson+St.-Jacksonville-TX-75766/storeid=7780
939,CVS PHARMACY 7804,Federal Allocation,,,Plano,,6401 W Parker Rd,75093,6/2/2021,0:00:00,0,357,0,122,0,357,122,,https://www.cvs.com/store-locator/cvs-pharmacy-address/6401+W+Parker+Rd-Plano-TX-75093/storeid=7804
940,CVS PHARMACY 7805,Federal Allocation,,,SUGAR LAND,,5757 NEW TERRITORY BLVD,77479,6/2/2021,0:00:00,0,269,0,72,35,304,72,,https://www.cvs.com/store-locator/cvs-pharmacy-address/5757+New+Territory+Blvd-Sugar+Land-TX-77479/storeid=7805
941,CVS PHARMACY 7812,Federal Allocation,,,Arlington,,1901 SE Green Oaks Blvd,76018,6/2/2021,0:00:00,0,0,0,0,475,475,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/1901+Se+Green+Oaks+Blvd-Arlington-TX-76018/storeid=7812
942,CVS PHARMACY 7813,Federal Allocation,,,Beaumont,,3595 College St,77701,6/2/2021,0:00:00,0,0,0,0,305,305,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/3595+College+St-Beaumont-TX-77701/storeid=7813
943,CVS PHARMACY 7819,Federal Allocation,,,WOODLANDS,,6700 WOODLANDS PKWY STE 500 THE,77382,6/2/2021,0:00:00,0,0,0,0,364,364,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/6700+Woodlands+Pkwy+Ste+500-The+Woodlands-TX-77382/storeid=7819
944,CVS PHARMACY 8321,Federal Allocation,,2100 El Dorado Pkwy,Mckinney,,2100 Eldorado Pkwy,75070,6/2/2021,0:00:00,0,0,0,0,614,614,0,,
945,CVS PHARMACY 8343,Federal Allocation,,,Lubbock ,,3801 19th St,79410,6/2/2021,0:00:00,0,0,0,0,227,227,0,,
946,CVS PHARMACY 8442,Federal Allocation,,980 Clear Lake City Blvd.,Webster,,980 Clear Lake City Blvd,77598,6/2/2021,0:00:00,0,0,0,0,443,443,0,,
947,CVS PHARMACY 8444,Federal Allocation,,, PLANO ,,10001 CUSTER RD,75025,6/2/2021,0:00:00,0,0,0,0,214,214,0,,
948,CVS PHARMACY 7642,Federal Allocation,,6640 Lake Worth Blvd,Lake Worth,Tarrant,6640 Lake Worth Blvd,76135,6/2/2021,0:00:00,0,704,0,549,0,704,549,,
949,CVS PHARMACY 3701,Federal Allocation,,1410 Crabb River Rd,Richmond,Fort Bend,1410 Crabb River Rd,77469,6/2/2021,0:00:00,0,215,0,180,0,215,180,,
950,CVS PHARMACY 7675,Federal Allocation,,105 Harris Ave,Red Oak,Ellis,105 Harris Ave,75154,6/2/2021,0:00:00,0,284,0,230,0,284,230,,
951,CVS PHARMACY 8393,Federal Allocation,,2101 W. Spring Creek Pkwy.,Plano,Collin,2101 W. Spring Creek Pkwy.,75023,6/2/2021,0:00:00,0,99,0,88,0,99,88,,
952,CVS PHARMACY 10874,Federal Allocation,,5305 Montana Avenue,El Paso,El Paso,5305 Montana Avenue,79903,6/2/2021,0:00:00,0,132,0,106,0,132,106,,
953,CVS Pharmacy 10948,Federal Allocation,,,DALLAS,,108 W DAVIS ST,75208,6/2/2021,0:00:00,0,0,0,0,290,290,0,214-943-1744 ,https://www.cvs.com/store-locator/cvs-pharmacy-address/108+W.+Davis+St.-Dallas-TX-75208/storeid=10948
954,CVS Pharmacy 10910,Federal Allocation,,3030 Sylvan Ave,Dallas,Dallas,3030 Sylvan Ave,75212,6/2/2021,0:00:00,0,0,0,0,290,290,0,,
955,CVS Pharmacy 10909,Federal Allocation,,6474 E. Northwest Hwy,Dallas,Dallas,6474 E. Northwest Hwy,75214,6/2/2021,0:00:00,0,0,0,0,1009,1009,0,,
956,CVS PHARMACY 10262,Federal Allocation,,7798 So. Padre Island Dr.,Corpus Christi,,7798 S Padre Island Dr,78412,6/2/2021,0:00:00,0,0,0,0,257,257,0,,
957,CVS PHARMACY 8387,Federal Allocation,,3500 W Slaughter Ln,Austin,,3500 W Slaughter Ln,78749,6/2/2021,0:00:00,0,0,0,0,256,256,0,,
958,CVS PHARMACY 7498,Federal Allocation,,FM 407,LEWISVILLE,DENTON,1496 Fm 407,75077,6/2/2021,0:00:00,0,0,0,0,223,223,0,(972) 317-2392,
959,CVS PHARMACY 7440,Federal Allocation,,,Dallas,,17410 Marsh Ln Dallas 75287,75287,6/2/2021,0:00:00,0,0,0,0,553,553,0,(972) 306-4931,
960,CVS PHARMACY 7004,Federal Allocation,,,CORPUS CHRISTI ,,6601 EVERHART RD STE E,78413,6/2/2021,0:00:00,0,0,0,0,216,216,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/6601+Everhart+Rd+Ste+E-Corpus+Christi-TX-78413/storeid=7004
961,CVS PHARMACY 6992,Federal Allocation,,,Corpus Christi,,4801 S Alameda St,78412,6/2/2021,0:00:00,0,0,0,0,257,257,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/4801+S+Alameda+St-Corpus+Christi-TX-78412/storeid=6992
962,CVS PHARMACY 6989,Federal Allocation,,,CORPUS CHRISTI,,4102 AYERS ST,78415,6/2/2021,0:00:00,0,0,0,0,303,303,0,,https://www.cvs.com/store-locator/cvs-pharmacy-address/4102+Ayers+St-Corpus+Christi-TX-78415/storeid=6989
963,CVS PHARMACY 5894,Federal Allocation,, COIT RD ,DALLAS,Dallas,13033 COIT RD ,75240,6/2/2021,0:00:00,0,0,0,0,420,420,0,,
964,CVS PHARMACY 8340,Federal Allocation,,,LUBBOCK ,,6420 19TH ST ,79407,6/2/2021,0:00:00,769,0,541,0,0,769,541,,
965,CVS PHARMACY 5695,Federal Allocation,,Abrams St,Arlington,Tarrant,815 E. Abrams St,76010,6/2/2021,0:00:00,0,0,0,0,342,342,0,,
966,CVS PHARMACY 1543,Federal Allocation,,7301 Hillside Rd,Amarillo,Randall,7301 Hillside Rd,79119,6/2/2021,0:00:00,0,60,0,5,0,60,5,,
967,CVS PHARMACY 11099,Federal Allocation,,,ODESSA,,3050 W. UNIVERSITY BLVD,79764,6/2/2021,0:00:00,1609,0,905,0,0,1609,905,,
968,CVS PHARMACY 7471,Federal Allocation,,14525 S. Padre Island Dr.,Corpus Christi,Nueces,14525 S. Padre Island Dr.,78418,6/2/2021,0:00:00,0,67,0,12,236,303,12,,
969,CVS PHARMACY 3707,Federal Allocation,,6151 Matlock Rd.,Arlington,Tarrant,6151 Matlock Rd.,76018,6/2/2021,0:00:00,0,95,0,66,0,95,66,,
970,CVS PHARMACY 7762,Federal Allocation,,2012 S Washington St,Amarillo,Randall,2012 S Washington St,79109,6/2/2021,0:00:00,0,182,0,103,0,182,103,,
971,CVS PHARMACY 7757,Federal Allocation,,3340 S Western St,Amarillo,Randall,3340 S Western St,79109,6/2/2021,0:00:00,0,811,0,556,0,811,556,,
972,CVS PHARMACY 6979,Federal Allocation,,318 W Beauregard,San Angelo,Tom Green,318 W Beauregard,76903,6/2/2021,0:00:00,0,1141,0,830,0,1141,830,,
973,CVS PHARMACY 7640,Federal Allocation,,,,,1225 N Bluegrove Rd Lancaster 75146,,6/2/2021,0:00:00,1140,0,790,0,0,1140,790,972-227-2145,https://www.cvs.com/store-locator/cvs-pharmacy-address/1225+N+Bluegrove+Rd-Lancaster-TX-75146/storeid=7640?WT.mc_id=LS_GOOGLE_RX_7640
974,CVS PHARMACY 5844,Federal Allocation,, Forest Ln, Dallas ,Dallas,9390 Forest Ln,75243,6/2/2021,0:00:00,0,54,0,46,0,54,46,,
975,CVS PHARMACY 7272,Federal Allocation,,,LUBBOCK,,3402 SLIDE RD,79414,6/2/2021,0:00:00,0,1252,0,859,0,1252,859,,https://www.cvs.com/store-locator/cvs-pharmacy-address/3402+Slide+Rd.-Lubbock-TX-79414/storeid=7272
976,CVS PHARMACY 10461,Federal Allocation,,,PEARLAND,,12806 BROADWAY ST ,77584,6/2/2021,0:00:00,1288,0,952,0,0,1288,952,,
977,CVS PHARMACY 7710,Federal Allocation,,,,,100 E Commerce St Brownwood 76801,,6/2/2021,0:00:00,1158,0,585,0,0,1158,585,325-646-8588,https://www.cvs.com/store-locator/cvs-pharmacy-address/100+E+Commerce+St-Brownwood-TX-76801/storeid=7710?WT.mc_id=LS_GOOGLE_RX_7710
978,CVS PHARMACY 8323,Federal Allocation,,4426 Williams Dr,Georgetown,Williamson,4426 Williams Dr,78628,6/2/2021,0:00:00,0,104,0,82,0,104,82,,
979,CVS PHARMACY 7463,Federal Allocation,,,Carthage ,,801 W Panola St ,75633,6/2/2021,0:00:00,2929,0,1886,0,0,2929,1886,,
980,CVS PHARMACY 7707,Federal Allocation,,LUBBOCK,LA MESA,DAWSON,2304 LUBBOCK HWY,79331,6/2/2021,0:00:00,0,0,0,0,453,453,0,806-872-8810,
981,CVS PHARMACY 6655,Federal Allocation,,11TH ST ,HUNTSVILLE,HUNTSVILLE,1569 11TH ST HUNTSVILLE 77340,77340,6/2/2021,0:00:00,312,0,225,0,0,312,225,(936) 295-6448,
982,CVS PHARMACY 6727,Federal Allocation,,1600 S BYPASS 35 ,ALVIN,BRAZORIA,1600 S BYPASS 35 ALVIN 77511,77511,6/2/2021,0:00:00,324,0,231,0,0,324,231,,
983,CVS PHARMACY 7106,Federal Allocation,,3401 Tidwell Rd,Houston,Harris,3401 Tidwell Rd,77093,6/2/2021,0:00:00,847,0,615,0,0,847,615,,
984,CVS PHARMACY 7672,Federal Allocation,,,Dallas,,3798 Forest Ln,75244,6/2/2021,0:00:00,1173,0,887,0,0,1173,887,,
985,CVS PHARMACY 10270,Federal Allocation,,,SPRING,,3487 RAYFORD RD  77386,77386,6/2/2021,0:00:00,473,0,339,0,0,473,339,,
986,CVS PHARMACY 6864,Federal Allocation,,,Waxahachie ,,701 Ferris Ave ,75165,6/2/2021,0:00:00,466,0,317,0,0,466,317,,
987,CVS PHARMACY 7278,Federal Allocation,,,FORT WORTH ,,4333 WESTERN CENTER BLVD ,76137,6/2/2021,0:00:00,417,0,310,0,0,417,310,,
988,CVS PHARMACY 1037,Federal Allocation,,,Bastrop,,1671 Highway 71 E ,78602,6/2/2021,0:00:00,339,0,231,0,0,339,231,,
989,CVS PHARMACY 7702,Federal Allocation,,,DUNCANVILLE ,,603 S CEDAR RIDGE DR ,75137,6/2/2021,0:00:00,670,0,488,0,0,670,488,,
990,CVS PHARMACY 6248,Federal Allocation,,Fm 517 East,Dickinson,Galveston,100 Fm 517 East,77539,6/2/2021,0:00:00,1660,0,1187,0,0,1660,1187,,
991,CVS PHARMACY 7291,Federal Allocation,,,KATY ,,1616 S MASON RD ,77450,6/2/2021,0:00:00,1228,0,942,0,0,1228,942,,
992,CVS PHARMACY 10140,Federal Allocation,,3705 Fm 1488,The Woodlands,Montgomery,3705 Fm 1488,77384,6/2/2021,0:00:00,0,208,0,178,0,208,178,,
993,CVS PHARMACY 7600,Federal Allocation,,, FORT WORTH ,,9620 WHITE SETTLEMENT RD,76108,6/2/2021,0:00:00,1693,0,1186,0,0,1693,1186,,
994,CVS PHARMACY 6961,Federal Allocation,,407 S Main St,Weatherford,Parker,407 S Main St,76086,6/2/2021,0:00:00,0,1864,0,1486,0,1864,1486,,
995,CVS PHARMACY 3178,Federal Allocation,,,Houston ,,6079 Highway 6 N ,77084,6/2/2021,0:00:00,684,0,542,0,0,684,542,,
996,CVS PHARMACY 6971,Federal Allocation,,4210 College Hills Blvd,San Angelo,Tom Green,4210 College Hills Blvd,76904,6/2/2021,0:00:00,1689,0,1162,0,0,1689,1162,,
997,CVS PHARMACY 7437,Federal Allocation,,Airline Rd,Corpus Christi,Nueces,2102 Airline Rd,78414,6/2/2021,0:00:00,1747,0,1152,0,0,1747,1152,,
998,CVS PHARMACY 7460,Federal Allocation,,14900 Jones Maltsberger Rd,San Antonio,Bexar,14900 Jones Maltsberger Rd,78247,6/2/2021,0:00:00,181,0,114,0,15,196,114,,
999,CVS PHARMACY 6959,Federal Allocation,,725 E. Main St.,Henderson,Rusk,725 E. Main St.,75652,6/2/2021,0:00:00,1306,0,953,0,0,1306,953,,
1000,CVS PHARMACY 3702,Federal Allocation,,,KATY ,,3103 FRY RD ,77449,6/2/2021,0:00:00,566,0,418,0,0,566,418,,
