,Clinic Name,Clinic Address,Clinic Suite,Clinic Address Additional,Clinic City,Clinic State,Clinic Zip Code,County Name,Number of Doses Allocated,Most Recent Order Date,Georeferenced Latitude & Longitude,Total Pfizer Ordered,Total Moderna Ordered,Total Janssen Ordered
1035,CVS/pharmacy02496,890 Welsh Road,,,Maple Glen,Pennsylvania,19002,Montgomery,,,,,,
1036,CVS/pharmacy01918,840 Wayne Avenue,,,Chambersburg,Pennsylvania,17201,Franklin,,,POINT (-77.654819 39.916022),,,
1037,Giant Eagle Pharmacy-2414,510 East Pitt St.,,,Bedford,Pennsylvania,15522,Bedford,,,POINT (-78.495077 40.019327),,,
1038,RITE AID STORE #11010,4145 BUFFALO ROAD,,,ERIE,Pennsylvania,16510,Erie,,,POINT (-80.00665 42.144411),,,
1039,VDI-Primary Care Pharmacy Services Inc,27 Heckel Road,110,,Mc Kees Rocks,Pennsylvania,15136,Allegheny,200,4/13/2021,POINT (-80.092812 40.472378),,,
1040,Wegmans Pharmacy #078,201 William Street,,,Williamsport,Pennsylvania,17701,Lycoming,,,POINT (-77.003369 41.237779),,,
1041,Giant Eagle Pharmacy-84,100 N MAIN ST,,,Du Bois,Pennsylvania,15801,Clearfield,,,POINT (-78.76763 41.123321),,,
1042,Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,7340,4/13/2021,POINT (-75.584731 39.957921),,,
1043,Giant Pharmacy-6284,1824 RIDGE PK,SUITE 104,,ROYERSFORD,PA,19468,Montgomery,,,,,,
1044,RITE AID STORE #03768,1249 HORSESHOE PIKE,,,DOWNINGTOWN,Pennsylvania,19335,Chester,,,POINT (-75.769464 40.036586),,,
1045,The Medicine Shoppe-Boyertown,2 E. Philadelphia Avenue,,,Boyertown,Pennsylvania,19512,Berks,2670,4/13/2021,POINT (-75.637151 40.333497),,,
1046,RITE AID STORE #10976,431 COMMONS DRIVE,,,DUBOIS,Pennsylvania,15801,Clearfield,,,POINT (-78.733627 41.124095),,,
1047,RITE AID STORE #11097,642 EASTON ROAD,,,WARRINGTON,Pennsylvania,18976,Bucks,,,POINT (-75.138823 40.229421),,,
1048,CWC-Costco Pharmacy 00245,201 Allendale Road,,,King of Prussia,Pennsylvania,19406,Montgomery,,,POINT (-75.385264 40.091635),,,
1049,RITE AID STORE #01685,801 WYOMING AVENUE STE 9,,,WEST PITTSTON,Pennsylvania,18643,Luzerne,,,POINT (-75.806409 41.325612),,,
1050,RITE AID STORE #10891,843 ROSTRAVER ROAD,,,BELLE VERNON,Pennsylvania,15012,Fayette,,,POINT (-79.842985 40.13649),,,
1051,Exeter Township Health Center,2795 Sullivans Trail,,,Falls,Pennsylvania,18615,Wyoming,100,4/13/2021,POINT (-75.857327 41.445341),,,
1052,CVS/pharmacy06764,1321 Allegheny Street,,,Jersey Shore,Pennsylvania,17740,Lycoming,,,POINT (-77.274032 41.201836),,,
1053,Walmart Store #2129,100 SUPERCENTER DR,,,CLEARFIELD,Pennsylvania,16830,Clearfield,,,POINT (-78.400285 41.033214),,,
1054,Giant Eagle Pharmacy-2435,1117 Milltown Road,,,Verona,Pennsylvania,15147,Allegheny,,,POINT (-79.790153 40.498805),,,
1055,Sav-On Pharmacy-Devon,700 W Lancaster Ave,,,Devon,Pennsylvania,19087,Chester,,,POINT (-75.40822 40.047143),,,
1056,Walmart Store #2420,100 SARA WAY,,,BELLE VERNON,Pennsylvania,15012,Fayette,,,POINT (-79.845744 40.13786),,,
1057,MOUNT NITTANY MEDICAL CENTER,PHARMACY DEPT,,1800 EAST PARK AVENUE,State College,Pennsylvania,16803,Centre,1170,4/13/2021,,,,
1058,CVS/pharmacy01575,401 Duke St.,,,Northumberland,Pennsylvania,17857,Northumberland,,,POINT (-76.801411 40.890865),,,
1059,GIANT PHARMACY-6265,1201 KNAPP ROAD,,,NORTH WALES,PA,19454,Montgomery,,,POINT (-75.240973 40.226013),,,
1060,Redners Pharmacy #38,110 Northside Commons,,,Palmyra,Pennsylvania,17078,Lebanon,,,POINT (-76.589939 40.284263),,,
1061,Giant Eagle Pharmacy-52,132 Ben Avon Heights Road,,,Pittsburgh,Pennsylvania,15237,Allegheny,,,POINT (-80.070318 40.522928),,,
1062,GIANT PHARMACY-6269,3301 TRINDLE ROAD,,,CAMP HILL,PA,17011,Cumberland,,,POINT (-76.935436 40.238145),,,
1063,RITE AID STORE #10933,1956 GREENTREE ROAD,,,PITTSBURGH,Pennsylvania,15220,Allegheny,,,POINT (-80.066315 40.395218),,,
1064,Walmart Store #1794,100 LUNGER DR,,,BLOOMSBURG,Pennsylvania,17815,Columbia,,,POINT (-76.488314 41.011179),,,
1065,Penn State Health St Joseph Med Center,PHARMACY,,2500 BERNVILLE RD,READING,PENNSYLVANIA,19605,Berks,1300,4/13/2021,,,,
1066,RITE AID STORE #10908,5990 UNIVERSITY BLVD STE30,,,MOON TOWNSHIP,Pennsylvania,15108,Allegheny,,,POINT (-80.218038 40.519528),,,
1067,RITE AID STORE #04260,4299 UNION DEPOSIT ROAD,,,HARRISBURG,Pennsylvania,17111,Dauphin,,,POINT (-76.814476 40.27901),,,
1068,FPC-Lewisburg Family Practice Center,131 JPM Road,A,Suite A,Lewisburg,Pennsylvania,17837,Union,100,4/13/2021,POINT (-76.891814 40.976035),,,
1069,Springfield Pharmacy,1154 Baltimore Pike,,,Springfield,Pennsylvania,19064,Delaware,300,4/13/2021,POINT (-75.346745 39.913764),,,
1070,Crozer-Chester Medical Center,1 Medical Center Blvd,,Department of Pharmacy,Upland,Pennsylvania,19013,Delaware,3510,4/13/2021,POINT (-75.369786 39.855608),,,
1071,CVS/Pharmacy 16576,2610 Pleasant Valley Rd,,,York,Pennsylvania,17402,York,,,POINT (-76.681673 39.989014),,,
1072,VDI-See Right Pharmacy,2647 N 6th St,,,Harrisburg,Pennsylvania,17110,Dauphin,500,4/13/2021,POINT (-76.894576 40.289845),,,
1073,RITE AID STORE #01662,980 EAST MAIN STREET,,,PALMYRA,Pennsylvania,17078,Lebanon,,,POINT (-76.581228 40.31453),,,
1074,CVS/pharmacy16752,200 Butler Commons,,,Butler,PA,160012482,Butler,,,POINT (-79.94288 40.876272),,,
1075,PHN-Shamokin Community Health Center,531 North Franklin Street,,,Shamokin,Pennsylvania,17872,Northumberland,200,4/13/2021,POINT (-76.550305 40.791462),,,
1076,FPC-Mill Hall Family Practice Center,7133 Nittany Valley Drive,,,Mill Hall,Pennsylvania,17751,Clinton,200,4/13/2021,POINT (-77.489442 41.064719),,,
1077,RITE AID STORE #00272,209 ATWOOD STREET,,,Pittsburgh,Pennsylvania,15213,Allegheny,,,POINT (-79.957278 40.440808),,,
1078,Guthrie Clinic Wellsboro,110 Plaza Lane,,,Wellsboro,Pennsylvania,16901,Tioga,200,4/13/2021,POINT (-77.282069 41.744225),,,
1079,RITE AID STORE #00291,345 WEST BROAD STREET,,,QUAKERTOWN,Pennsylvania,18951,Bucks,,,POINT (-75.338009 40.4415),,,
1080,Giant Eagle Pharmacy-94,3113 Green Garden Rd,,,Aliquippa,Pennsylvania,15001,Beaver,,,POINT (-80.303341 40.599693),,,
1081,Weis Pharmacy-156,70 Phoenix Street,,,Duryea,PA,18642,Luzerne,,,POINT (-75.773331 41.347607),,,
1082,RITE AID STORE #02426,39 WEST SIDE MALL,,,Wilkes Barre,Pennsylvania,18704,Luzerne,,,POINT (-75.901012 41.259093),,,
1083,CVS/pharmacy04234,5801 Tilghman Street,,,Allentown,Pennsylvania,18104,Lehigh,,,POINT (-75.589702 40.591854),,,
1084,RITE AID STORE #03611,455-K NORTH ENOLA ROAD,,,ENOLA,Pennsylvania,17025,Cumberland,,,POINT (-76.927421 40.300549),,,
1085,CVS/pharmacy02507,3943 Route 309,,,Schnecksville,Pennsylvania,18078,Lehigh,,,POINT (-75.600195 40.655181),,,
1086,Comm Health and Dental-Robinson St,351 W Schuylkill Ave,G-15,,Pottstown,Pennsylvania,19465,Chester,200,4/13/2021,POINT (-75.662171 40.233362),,,
1087,Walmart Store #3475,650 S TROOPER RD,,,NORRISTOWN,Pennsylvania,19403,Montgomery,,,POINT (-75.404542 40.127712),,,
1088,Weis Pharmacy-177,1272 East Penn Street,,,Muncy,PA,17756,Lycoming,,,POINT (-76.761133 41.210828),,,
1089,Walmart Store #1770,20245 ROUTE 19,,,CRANBERRY TWP,Pennsylvania,16066,Butler,,,POINT (-80.102135 40.687751),,,
1090,CVS/pharmacy16572,600 Chauvet Dr,,,Pittsburgh,PA,152751043,Allegheny,,,POINT (-80.183388 40.447368),,,
1091,RITE AID STORE #11040,2269 SCHOENERSVILLE ROAD,,,BETHLEHEM,Pennsylvania,18017,Northampton,,,POINT (-75.401073 40.641138),,,
1092,CWC-Costco Pharmacy 00649,501 West Waterfront Drive,,,Homestead,Pennsylvania,15120,Allegheny,,,POINT (-79.919943 40.40616),,,
1093,Keystone Internal Medicine,830 5th Ave.,201,Suite 201,Chambersburg,Pennsylvania,17201,Franklin,200,4/13/2021,POINT (-77.644983 39.945106),,,
1094,RITE AID STORE #01147,175 WILSON ROAD,,,BENTLEYVILLE,Pennsylvania,15314,Washington,,,POINT (-80.001602 40.129622),,,
1095,RITE AID STORE #07850,620 E ALLEGHENY AVENUE,,,EMPORIUM,Pennsylvania,15834,Cameron,,,POINT (-78.223836 41.509004),,,
1096,Fulton County Medical Center,Fulton County Medical Center,,214 Peach Orchard Road,MC CONNELLSBURG,PA,172338559,Fulton,400,4/13/2021,,,,
1097,CVS/pharmacy05720,110 South Pleasant Avenue,,,Somerset,Pennsylvania,15501,Somerset,,,POINT (-79.074284 40.007815),,,
1098,Giant Eagle Pharmacy-88,110 S. Martin St,,,Titusville,Pennsylvania,16354,Crawford,,,POINT (-79.671596 41.626136),,,
1099,RITE AID STORE #10975,201 WEST MAHONING STREET,,,PUNXSUTAWNEY,Pennsylvania,15767,Jefferson,,,POINT (-78.972842 40.943165),,,
1100,AHOLD USA-GIANT PHARMACY-6081,70 S LOCUST ST,,,Hazleton,Pennsylvania,18201,Luzerne,,,POINT (-75.981659 40.95324),,,
1101,RITE AID STORE #01144,500 CHESTERBROOK BLVD,2,,Wayne (Part-Chester),Pennsylvania,19087,Chester,,,POINT (-75.456806 40.074471),,,
1102,CVS/pharmacy04773,2000 Swamp Pike,,,Gilbertsville,Pennsylvania,19525,Montgomery,,,POINT (-75.58488 40.299201),,,
1103,RITE AID STORE #11025,65 NEWBERRY PARKWAY,,,ETTERS,Pennsylvania,17319,York,,,POINT (-76.805528 40.159826),,,
1104,RITE AID STORE #10988,129 GRAND AVE,,,MARS,Pennsylvania,16046,Butler,,,POINT (-80.01036 40.696591),,,
1105,Walgreens Store # 10786,100 Cavasina Dr.,,,Canonsburg,Pennsylvania,15317,Washington,,,POINT (-80.174424 40.262552),,,
1106,CVS Pharmacy #11422,177 Erie Boulevard,,,Susquehanna,Pennsylvania,18847,Susquehanna,,,POINT (-75.606875 41.945461),,,
1107,Weis Pharmacy-199,2150 Bumble Bee Hollow Road,,,Mechanicsburg,PA,17055,Cumberland,,,POINT (-76.985573 40.175475),,,
1108,Weis Pharmacy-76,1220 Chestnut Street,,,Emmaus,PA,18049,Lehigh,,,POINT (-75.508959 40.527622),,,
1109,Giant Eagle Pharmacy-2401,1025 Washington Pike,,,Bridgeville,Pennsylvania,15017,Allegheny,,,POINT (-80.108605 40.365296),,,
1110,MARTINS PHARMACY-6012,2032 E PLEASANT VLY BLVD,,,ALTOONA,PA,16602,Blair,,,POINT (-78.339635 40.562816),,,
1111,Weis Pharmacy #135,112 Atlantic Avenue,,,Dingmans Ferry,Pennsylvania,18328,Pike,,,,,,
1112,Weis Pharmacy-164,1321 Blue Valley Drive,,,Pen Argyl,Pennsylvania,18072,Northampton,,,POINT (-75.236443 40.87292),,,
1113,RITE AID STORE #04960,2470 BEDFORD STREET,,,JOHNSTOWN,Pennsylvania,15904,Cambria,,,POINT (-78.87031 40.294991),,,
1114,Giant Eagle Pharmacy-4077,3230 Wilmington Road,,,New Castle,Pennsylvania,16105,Lawrence,,,POINT (-80.35724 41.053358),,,
1115,Weis Pharmacy-233,25 W. Germantown Pike,,,Norristown,PA,19401,Montgomery,,,POINT (-75.313951 40.142791),,,
1116,RITE AID STORE #01955,"""674 ROUTE 196, STE 14""",,,TOBYHANNA,Pennsylvania,18466,Monroe,,,,,,
1117,AHOLD USA-GIANT PHARMACY-6485,789 East Main Street,,,Mount Joy,PA,17552,Lancaster,,,POINT (-76.484795 40.109335),,,
1118,GIANT PHARMACY-6097,1250 COCOA AVENUE,,,HERSHEY,PA,17033,Dauphin,,,POINT (-76.64787 40.269063),,,
1119,CVS/pharmacy02458,298 West Butler Pike,,,Chalfont,Pennsylvania,18914,Bucks,,,POINT (-75.215186 40.278618),,,
1120,CVS/pharmacy02481,312 South Henderson Road,,,King of Prussia,Pennsylvania,19406,Montgomery,,,POINT (-75.35993 40.090593),,,
1121,RITE AID STORE #03389,2674 EGYPT ROAD,,,AUDUBON,Pennsylvania,19403,Montgomery,,,POINT (-75.408264 40.130295),,,
1122,Giant Eagle Pharmacy-2415,1521 N Main Street  EXT,,,Butler,Pennsylvania,16001,Butler,,,POINT (-79.907745 40.89649),,,
1123,CVS/pharmacy01191,"314 Horsham Rd, Unit B",,,Horsham,Pennsylvania,19044,Montgomery,,,POINT (-75.134392 40.181192),,,
1124,Walmart Store #1823,495 EISENHOWER DR,,,HANOVER,Pennsylvania,17331,York,,,POINT (-76.978492 39.825157),,,
1125,Redners Pharmacy 21,191 Manheim Road,,,Schuylkill Haven,Pennsylvania,17972,Schuylkill,,,POINT (-76.160512 40.643212),,,
1126,RITE AID STORE #11099,2182 COUNTY LINE ROAD,,,HUNTINGDON VALLEY,Pennsylvania,19006,Montgomery,,,POINT (-75.072085 40.171408),,,
1127,RITE AID STORE #11084,148 ENNIS LANE,,,TOWANDA,Pennsylvania,18848,Bradford,,,,,,
1128,RITE AID STORE #10983,200 GREATER BUTLER MART,,,BUTLER,Pennsylvania,16001,Butler,,,POINT (-79.917845 40.843295),,,
1129,RITE AID STORE #01566,327 NORTH CHESTER PIKE,,,GLENOLDEN,Pennsylvania,19036,Delaware,,,POINT (-75.283769 39.903185),,,
1130,RITE AID STORE #01758,113 EAST BALTIMORE AVENUE,,,CLIFTON HEIGHTS,Pennsylvania,19018,Delaware,,,POINT (-75.295147 39.930044),,,
1131,RITE AID STORE #00726,1080 S WASHINGTON AVENUE,,,SCRANTON,Pennsylvania,18505,Lackawanna,,,POINT (-75.67445 41.398311),,,
1132,CVS/pharmacy04245,175 W. Beau St.,,,Washington,Pennsylvania,15301,Washington,,,POINT (-80.249337 40.170275),,,
1133,RITE AID STORE #11062,3382 ROUTE 940,,,MOUNT POCONO,Pennsylvania,18344,Monroe,,,POINT (-75.361168 41.126096),,,
1134,GIANT PHARMACY-6509,737 HUNTINGDON PIKE,,,HUNTINGDON VALLEY,PA,19006,Montgomery,,,POINT (-75.093708 40.086465),,,
1135,Weis Pharmacy-181,552 State St,,,Hamburg,Pennsylvania,19526,Berks,,,POINT (-75.980249 40.556146),,,
1136,CVS/pharmacy01583,1 North Main Street,,,Shickshinny,Pennsylvania,18655,Luzerne,,,POINT (-76.150043 41.15335),,,
1137,RITE AID STORE #02631,170 SAXER AVENUE,,,SPRINGFIELD,Pennsylvania,19064,Delaware,,,POINT (-75.33347 39.927547),,,
1138,MARTINS PHARMACY-6466,1000 LOGAN BOULEVARD,SUITE 108,,ALTOONA,PA,16602,Blair,,,POINT (-78.401939 40.475136),,,
1139,RITE AID STORE #00856,762 CHESTER PIKE,,,PROSPECT PARK,Pennsylvania,19076,Delaware,,,POINT (-75.305219 39.88297),,,
1140,RITE AID STORE #10901,351 BRIGHTON AVENUE,,,ROCHESTER,Pennsylvania,15074,Beaver,,,POINT (-80.286902 40.702458),,,
1141,NCS Pharmacy,100 E Main St,,,Lititz,Pennsylvania,17543,Lancaster,1270,4/13/2021,POINT (-76.304188 40.156715),,,
1142,Wegmans Pharmacy #098,345 Colonnade Blvd.,,,State College,Pennsylvania,16803,Centre,,,POINT (-77.907402 40.810472),,,
1143,Weis Pharmacy-39,3644 MacArthur Road,,,Whitehall,PA,18052,Lehigh,,,POINT (-75.51111 40.663853),,,
1144,MEMORIAL HOSPITAL PHARMACY,1701 Innovation Drive,,Pharmacy - UPMC Memorial Hospital,York,Pennsylvania,17408,York,1000,4/13/2021,,,,
1145,Walmart Store #2603,300 WALMART DR,,,GIBSONIA,Pennsylvania,15044,Allegheny,,,POINT (-79.944496 40.62153),,,
1146,CVS Pharmacy #10034,611 Duncan Ave,,,Pittsburgh,Pennsylvania,15237,Allegheny,,,POINT (-80.023103 40.568363),,,
1147,Walmart Store #2519,698 SHREWSBURY COMMONS AVE,,,SHREWSBURY,Pennsylvania,17361,York,,,POINT (-76.671276 39.77011),,,
1148,CVS/pharmacy17317,913 Norland Ave,,,Chambersburg,PA,172014213,Franklin,,,POINT (-77.632039 39.941685),,,
1149,RITE AID STORE #00274,1700 MURRAY AVENUE,,,PITTSBURGH,Pennsylvania,15217,Allegheny,,,POINT (-79.922983 40.437837),,,
1150,CVS/pharmacy10045,2239 Perkiomen Ave,,,Reading,Pennsylvania,19606,Berks,,,POINT (-75.892787 40.327858),,,
1151,Walmart Store #2888,100 NO LONDONDERRY SQUARE,,,PALMYRA,Pennsylvania,17078,Lebanon,,,POINT (-76.56674 40.319985),,,
1152,Tops Pharmacy-672,525 NORTH FRALEY STREET,,,Kane,Pennsylvania,16735,McKean,,,POINT (-78.813285 41.669362),,,
1153,Walmart Store #3429,2901 MARKET ST,,,WARREN,Pennsylvania,16365,Warren,,,POINT (-79.14957 41.881165),,,
1154,RITE AID STORE #04083,101 5TH STREET,,,CHARLEROI,Pennsylvania,15022,Washington,,,POINT (-79.896467 40.139384),,,
1155,GIANT PHARMACY-6501,850 EAST MAIN STREET,,,EPHRATA,PA,17522,Lancaster,,,POINT (-76.157833 40.165002),,,
1156,CVS Pharmacy # 960,1520 Northampton Street,,,Easton,Pennsylvania,18042,Northampton,,,POINT (-75.232586 40.690092),,,
1157,Minnichs Pharmacy,976 S. George St,,,York,Pennsylvania,17403,York,,,POINT (-76.720984 39.947453),,,
1158,John Manubay MD LLC,4400 Penn Ave,,,Sinking Spring,Pennsylvania,19608,Berks,100,4/13/2021,POINT (-76.031422 40.326169),,,
1159,CVS/pharmacy16499,2331 E Lincoln Hwy,,,Langhorne,PA,190471812,Bucks,,,POINT (-74.878838 40.179092),,,
1160,Walgreens Store # 10282,30 Pine Creek Rd.,,,Wexford,Pennsylvania,15090,Allegheny,,,POINT (-80.043468 40.586808),,,
1161,Penn State Health Cmty Vax Site-Dauphin,30 E Granada Ave,Ste. 200,,Hershey,Pennsylvania,17033,Dauphin,2470,4/13/2021,POINT (-76.646724 40.284914),,,
1162,Norristown Hlth Cntr-Montgomery County,1430 DeKalb Street,,2nd Floor,Norristown,Pennsylvania,19404,Montgomery,5850,4/13/2021,POINT (-75.332915 40.123731),,,
1163,CVS/pharmacy02552,702 Chester Pike,,,Prospect Park,Pennsylvania,19076,Delaware,,,POINT (-75.303879 39.884077),,,
1164,Aria Health-Bucks,380 N Oxford Valley Road,,,Langhorne,Pennsylvania,19047,Bucks,1170,4/13/2021,POINT (-74.870364 40.183428),,,
1165,Spartan Pharmacy Bethel Park,3400 South Park Rd,,Unit 1,Bethel Park,Pennsylvania,15102,Allegheny,1300,4/13/2021,POINT (-80.057122 40.321885),,,
1166,GIANT PHARMACY-6106,6542 LOWER YORK RD,,,New Hope,Pennsylvania,18938,Bucks,,,POINT (-74.977248 40.359166),,,
1167,RITE AID STORE #04415,14 FIFTH STREET,,,WILLIAMSPORT,Pennsylvania,17701,Lycoming,,,POINT (-77.004079 41.243659),,,
1168,RITE AID STORE #10954,1125 FREEPORT ROAD,,,PITTSBURGH,Pennsylvania,15238,Allegheny,,,POINT (-79.882101 40.487654),,,
1169,Walgreens Store # 11768,4667 WILLIAM PENN HWY,,,MURRYSVILLE,Pennsylvania,15668,Westmoreland,,,POINT (-79.667497 40.424396),,,
1170,CWC-Costco Pharmacy 00248,740 Upper State Road,,,North Wales,Pennsylvania,19454,Montgomery,,,POINT (-75.23589 40.238897),,,
1171,Weis Pharmacy-144,5580 Crawford Drive,,,Bethlehem (Part-Northampton),Pennsylvania,18017,Northampton,,,POINT (-75.389087 40.673466),,,
1172,GIANT PHARMACY-6321,859 NAZARETH PIKE,,,NAZARETH,PA,18064,Northampton,,,POINT (-75.314175 40.730169),,,
1173,Wegmans Pharmacy #126,100 Applied Bank Blvd.,,,Glen Mills,PA,19342,Delaware,,,POINT (-75.541455 39.87534),,,
1174,Sav-On Pharmacy-Folsom,124 Morton Ave,,,Folsom,Pennsylvania,19033,Delaware,,,POINT (-75.32933 39.883799),,,
1175,MARTINS PHARMACY-6290,800 VANDERBILT ROAD,,,CONNELLSVILLE,PA,15425,Fayette,,,POINT (-79.603029 40.018548),,,
1176,AHOLD USA-GIANT PHARMACY 6004,1008 LITITZ PIKE,,,LITITZ,PA,17543,Lancaster,,,POINT (-76.304792 40.129912),,,
1177,RITE AID STORE #00321,455 NORTH 3RD STREET,,,OXFORD,Pennsylvania,19363,Chester,,,POINT (-75.976612 39.794964),,,
1178,ShopRite #416,3430 Route 940,Suite 102,,Mount Pocono,PA,18344,Monroe,,,,,,
1179,Sav-On Pharmacy #3711,121 E City Line Ave,,,Bala Cynwyd,Pennsylvania,19004,Montgomery,,,POINT (-75.222805 40.002955),,,
1180,Astis South Hills Pharmacy Retail,250 MOUNT LEBANON BLVD,300,,Pittsburgh,Pennsylvania,15234,Allegheny,,,POINT (-80.03749 40.368461),,,
1181,Weis Pharmacy-198,11798 Route 6,,,Wellsboro,PA,16901,Tioga,,,POINT (-77.267367 41.743845),,,
1182,Walgreens Store # 10958,30 W. Ridge Pike,,,Royersford,Pennsylvania,19468,Montgomery,,,POINT (-75.501548 40.216037),,,
1183,GIANT PHARMACY-6074,3015 W EMAUS AVE,,,Allentown,Pennsylvania,18103,Lehigh,,,POINT (-75.481717 40.557741),,,
1184,Wegmans Pharmacy #069,5028 West Ridge Rd.,,,Erie,PA,16506,Erie,,,POINT (-80.18926 42.067991),,,
1185,RITE AID STORE #10968,8775 NORWIN AVENUE,,,NORTH HUNTINGDON,Pennsylvania,15642,Westmoreland,,,POINT (-79.693356 40.316913),,,
1186,GIANT PHARMACY-6310,830 NORTH US 15,,,DILLSBURG,PA,17019,York,,,POINT (-77.020421 40.13036),,,
1187,GIANT PHARMACY-6330,301 TOWN CENTER BLVD,,,EASTON,PA,18040,Northampton,,,POINT (-75.221014 40.712285),,,
1188,Walmart Store #5239,567 ROUTE 100 N,,,BECHTELSVILLE,Pennsylvania,19505,Berks,,,POINT (-75.628006 40.35162),,,
1189,Armstrong County Memorial Hospital,1 NOLTE DR,,,Kittanning,Pennsylvania,16201,Armstrong,3170,4/13/2021,POINT (-79.562335 40.812095),,,
1190,CWC-Costco Pharmacy 01081,14 W Lightcap Road,,,Pottstown,Pennsylvania,19464,Montgomery,,,POINT (-75.578296 40.239416),,,
1191,GIANT PHARMACY-6262,328 CHURCH STREET,,,DANVILLE,PA,17821,Montour,,,POINT (-76.614187 40.961263),,,
1192,Giant Eagle Pharmacy-8991,600 Lindbergh Drive,Suite 300,,Coraopolis,Pennsylvania,15108,Allegheny,,,POINT (-80.213958 40.498325),,,
1193,GIANT PHARMACY-6534,4930 EDGEMONT AVE,,,BROOKHAVEN,PA,19015,Delaware,,,POINT (-75.396231 39.877768),,,
1194,Walgreens Store # 10386,508 E. Plank Rd.,,,Altoona,Pennsylvania,16602,Blair,,,POINT (-78.403144 40.479361),,,
1195,RITE AID STORE #01495,101 EAST SHIRLEY STREET,,,MT UNION,Pennsylvania,17066,Huntingdon,,,POINT (-77.879633 40.382688),,,
1196,RITE AID STORE #01180,217 SOUTH BLAKELY STREET,,,DUNMORE,Pennsylvania,18512,Lackawanna,,,POINT (-75.632437 41.419802),,,
1197,Weis Pharmacy-237,2100 County Line Road,,,Huntingdon Valley,PA,19006,Montgomery,,,POINT (-75.071308 40.17095),,,
1198,Woodlyn Pharmacy,1301 Jefferson Avenue,,,Woodlyn,Pennsylvania,19094,Delaware,,,POINT (-75.343867 39.874857),,,
1199,Exton Pharmacy at Marchood,1 Marchood Rd,,,Exton,Pennsylvania,19341,Chester,100,4/13/2021,POINT (-75.639435 40.04787),,,
1200,Walgreens Store # 10549,2801 SHARKYS DR,,,LATROBE,Pennsylvania,15650,Westmoreland,,,POINT (-79.389794 40.285861),,,
1201,Monongahela Valley Hospital,1163 Country Club Road,,,Monongahela,Pennsylvania,15063,Washington,1170,4/13/2021,POINT (-79.916276 40.181578),,,
1202,CVS/pharmacy01587,202 4th St.,,,Honesdale,Pennsylvania,18431,Wayne,,,POINT (-75.25309 41.568698),,,
1203,Walmart Store #3514,50 FOSTER BROOK BLVD,,,BRADFORD,Pennsylvania,16701,McKean,,,POINT (-78.61178 41.979151),,,
1204,GIANT PHARMACY-6336,3926 LINDEN STREET,,,BETHLEHEM,PA,18020,Northampton,,,POINT (-75.344906 40.674166),,,
1205,CVS/pharmacy04020,201 Fieldcrest Dr.,,,Nottingham,Pennsylvania,19362,Chester,,,POINT (-76.021231 39.750388),,,
1206,Giant Eagle Pharmacy-31,Baptist & Grove Rds.-Caste Vlg,,,Pittsburgh,Pennsylvania,15236,Allegheny,,,,,,
1207,Geisinger St. Lukes Hospital,100 Paramount Blvd,,,Orwigsburg,Pennsylvania,17961,Schuylkill,1170,4/13/2021,POINT (-76.09171 40.640986),,,
1208,RITE AID STORE #01413,155 EAST NORTHAMPTON STREET,,,WILKES-BARRE,Pennsylvania,18701,Luzerne,,,POINT (-75.8817 41.240898),,,
1209,Weis Pharmacy-169,3011 William Penn Hwy,,,Easton,PA,18045,Northampton,,,POINT (-75.261101 40.676903),,,
1210,RITE AID STORE #03804,10 NEWPORT PLAZA,,,NEWPORT,Pennsylvania,17074,Perry,,,POINT (-77.113785 40.493228),,,
1211,Med-Fast Pharmacy,2003 Sheffield Road,,,Aliquippa,Pennsylvania,15001,Beaver,,,POINT (-80.275823 40.607538),,,
1212,RBJ Enterprises Inc The Med Shoppe 1094,132 West Mahoning Street,,,Punxsutawney,Pennsylvania,15767,Jefferson,,,POINT (-78.97215 40.943259),,,
1213,RITE AID STORE #04286,5201 SPRING ROAD,6,PO BOX 370,SHERMANS DALE,Pennsylvania,17090,Perry,,,POINT (-77.16542 40.319769),,,
1214,CVS/pharmacy02115,1332 Main St.,,,Hellertown,Pennsylvania,18055,Northampton,,,POINT (-75.340896 40.588303),,,
1215,Weis Pharmacy-148,1651 E. Cumberland Street,,,Lebanon,PA,17042,Lebanon,,,POINT (-76.381601 40.350357),,,
1216,GIANT PHARMACY-6117,10 NEWPORT ROAD,,,LEOLA,PA,17540,Lancaster,,,POINT (-76.190108 40.086787),,,
1217,Superior Care Pharmacy Incorporated,518 Burke Bypass,,,Olyphant,Pennsylvania,18447,Lackawanna,,,POINT (-75.596869 41.470483),,,
1218,Guthrie Clinic Sayre,1 GUTHRIE SQ,,Sayre PA,Sayre,Pennsylvania,18840,Bradford,100,4/13/2021,POINT (-76.518676 41.980974),,,
1219,CVS/pharmacy17569,960 Lititz Pike,,,Lititz,PA,175439328,Lancaster,,,POINT (-76.304095 40.133251),,,
1220,Weis Pharmacy-125,1195 Lowther Road,,,Camp Hill,PA,17011,Cumberland,,,POINT (-76.896632 40.234933),,,
1221,RITE AID STORE #02768,54 NORTH MAIN STREET,,,CARBONDALE,Pennsylvania,18407,Lackawanna,,,POINT (-75.501494 41.573878),,,
